Оборудование;Узел;Номер узла;Идентификационный номер;Наименование;Тип номера;Стр.
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;068000001107006002;Прокладка;Номер заказа;170
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900080401402005066;Болт М20х50;Номер заказа;170
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;401064022000002106;Шайба стопорная;Номер заказа;170
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;311000000112021002;Гайка;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;321000000202086002;Кольцо;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;321000000623040051;Втулка;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;403000160006002002;Втулка;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900489515700364466;Грязесъемник;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;401098330240025002;Кольцо;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;401098330550030002;Кольцо;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900488624000360966;Кольцо направляющее;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900488624000601956;Кольцо направляющее;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900488601000028116;Кольцо опорное;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900488601000060556;Кольцо опорное;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;403000340620030011;Корпус;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900263163030361006;Манжета;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;403000180006000002;Поршень;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900561475106049046;Уплотнение;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;900561468160036046;Уплотнение;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Ключ удерживающий;068000001107000001;403000200620003002;Шток;Номер заказа;172
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000000108200001;Перила;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124100001;Платформа;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124300001;Направляющая;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124400001;Блок в сборе;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124500001;Гидроцилиндр;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701602576;Винт М16х25;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;401064021600002106;Шайба стопорная Ф16;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701003076;Винт М10х30;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080475100100196;Рым-болт;Номер заказа;175
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000000104012002;Шайба;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124600001;Крышка;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701603886;Винт М16х30;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;401040321600102126;Гайка М16;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900597336000101606;Шайба стопорная Ф16;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124122002;Блок;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124121002;Ось;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701605886;Винт М16х50;Номер заказа;176
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124106002;Прокладка;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124004002;Планка;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124005002;Планка;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124140001;Корпус вытяжки;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701003576;Винт М10х35;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900080401701002596;Винт М10х25;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;401040321000102126;Гайка М10;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900597336000001006;Шайба стопорная Ф10;Номер заказа;177
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;311000000112021002;Гайка;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900488614000055306;Кольцо;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900488614000024256;Кольцо;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900488601000028116;Кольцо опорное;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900488624000601956;Кольцо направляющее;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;403000180006000002;Поршень;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;321000000202086002;Кольцо;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;331000000301030002;Угольник;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900488624000360966;Кольцо направляющее;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001114120011;Цилиндр в сборе;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001114101002;Шток;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;403000160006002002;Втулка;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900489515700364466;Грязесъемник;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900488601000060556;Кольцо опорное;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900263163030361006;Манжета;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900561468160036046;Уплотнение;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001114102002;Площадка;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900561475106049046;Уплотнение;Номер заказа;179
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900489515600022306;Шторка Т.223.000;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900489515600022206;Шторка Т.222.000;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124010001;Рамка;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124020001;Рамка;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124007002;Цепь;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124006002;Цепь;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;900489515600022106;Шторка Т.221.000;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124001002;Планка;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001134000001;068000001124002002;Планка;Номер заказа;181
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001124800001;Платформа;Номер заказа;183
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144002002;Ось;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;401003970806302102;Шплинт;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144001012;Ось;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900488861000000016;Масленка;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144100001;Крышка;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;403000110614010011;Гидроцилиндр 60Х140-1А;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144020001;Кронштейн;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900080401700802076;Винт M8Х20;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900597336000000086;Шайба;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144009002;Планка;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144001002;Ось;Номер заказа;184
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001101314002;Проушина;Номер заказа;185
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001124008002;Ось;Номер заказа;185
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900597336000001206;Шайба;Номер заказа;185
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900080401701204076;Винт M12Х40;Номер заказа;185
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001124003002;Отбойник;Номер заказа;186
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900080401701605006;Винт М16х50;Номер заказа;186
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900081102400003006;Шплинт пруж.;Номер заказа;187
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144011002;Крышка;Номер заказа;187
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001124121032;Ось;Номер заказа;187
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;401113712000000022;Шайба;Номер заказа;187
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900080401701003596;Винт M10X35;Номер заказа;188
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144004002;Фартук;Номер заказа;188
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144003002;Фартук;Номер заказа;188
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144005002;Фартук;Номер заказа;188
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;900587357001308306;Платформа 1300X830;Номер заказа;188
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;068000001144008002;Петля;Номер заказа;188
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;321000000623040051;Втулка;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;403000420030837002;Заглушка;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;401098330550030002;Кольцо;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;403000940006000002;Крышка;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;403000280614009011;Цилиндр;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;403000200614003002;Шток;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;331000000716007002;Бонка;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Колпак пылеулавливающий;068000001144000001;401098330240025002;Кольцо;Номер заказа;190
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000002300040001;Труба;Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000002300050001;Труба;Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000002300060001;Труба;Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300090001;Труба;Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300110001;Стойка;Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900488232000653196;"Клапан 1 1/2""";Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300080001;Труба;Номер заказа;192
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900442210000090146;Заглушка;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300006002;Хомут;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300007002;Прокладка;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000002300071002;Лист;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000002300072002;Бонка;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900080401401607076;Болт M16X70-8.8-АЗР;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401040321200102126;Гайка М12-10-АЗР;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401040321600102126;Гайка М16-10-АЗР;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900488193000080106;Компенсатор КСУ.Ф 80-10-20-8;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401064021600002106;Шайба 16.65Г.019;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401064021200002106;Шайба 12.65Г.019;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401113711600000022;Шайба С 16.02.СТ 3СП;Номер заказа;193
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;331000000601017001;Заглушка;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900441379000221596;"Кран 2""";Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300009002;Ниппель;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300094002;Угольник;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300111002;Основание;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900080401401202582;Болт М12X25;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900441379000122186;"Кран 1/2""";Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900441379000122286;"Кран 1/2""";Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900485110000002006;Трос предохранительный;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900486819000005066;Хомут усил. 4Х болт. 50Х6;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401113711200000022;Шайба С 12.01.08.ПС;Номер заказа;194
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900264480016110006;Рукав РВД 2SN DN16-11000;Номер заказа;195
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900444848000728046;"Сгон разъемн. 1/2""";Номер заказа;195
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900489131000007546;Фильтр-регулятор;Номер заказа;195
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900485100010053816;Штуцер;Номер заказа;195
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900080401702004576;Винт M20X45-8.8-A3P;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900080401401011076;Болт M10Х110-8.8-АЗР;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;900080401401203076;Болт М12X30-8.8-А3Р;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401098330600030002;Кольцо 060-065-30-2-3;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000002300010001;Кронштейн;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;001265842005164137;Рукав;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300001002;Скоба;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300102002;Фланец;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300020001;Труба;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;401113711000000022;Шайба С 10.01.08.ПС;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300003002;Платик;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300004002;Платик;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300005002;Прокладка;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300101002;Платик;Номер заказа;196
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);ПНЕВМОРАЗВОДКА;068000002300000001;068000001300030001;Труба;Номер заказа;197
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900564277000000016;Маяк проблесковый;Номер заказа;200
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900581814000000136;Датчик индуктивный М12;Номер заказа;200
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900531228000002246;Видеокамера;Номер заказа;200
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900581814000000156;Датчик индуктивный М30;Номер заказа;201
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900564277000705606;Прожектор;Номер заказа;201
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900581814000000146;Датчик индуктивный М18;Номер заказа;201
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900561815000000036;Выключатель тросовый;Номер заказа;202
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900581814000018566;Датчик индуктивный М18;Номер заказа;202
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900581814000300516;Датчик индуктивный М30;Номер заказа;202
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Оборудование мачты;;900563098000008086;Коробка клеммная;Номер заказа;205
